unigram	count	topics_list_with_scores
www.mrportland.com/html/energy.htm	6	[(1.0, 80)]
payments	71	[(0.5211267605633803, 91), (0.18309859154929578, 180), (0.14084507042253522, 136), (0.07042253521126761, 109), (0.056338028169014086, 9), (0.028169014084507043, 140)]
lose	44	[(0.29545454545454547, 170), (0.13636363636363635, 195), (0.13636363636363635, 95), (0.11363636363636363, 168), (0.09090909090909091, 185), (0.06818181818181818, 141), (0.06818181818181818, 64), (0.045454545454545456, 115), (0.022727272727272728, 189), (0.022727272727272728, 132)]
ktora	10	[(0.4, 143), (0.4, 126), (0.2, 93)]
mailto:jmeserve@nww.com	22	[(1.0, 58)]
library	101	[(0.3069306930693069, 10), (0.10891089108910891, 3), (0.09900990099009901, 45), (0.0891089108910891, 58), (0.07920792079207921, 155), (0.07920792079207921, 8), (0.06930693069306931, 68), (0.039603960396039604, 120), (0.039603960396039604, 76), (0.0297029702970297, 90), (0.019801980198019802, 166), (0.019801980198019802, 141), (0.019801980198019802, 1)]
tycholiz	5	[(1.0, 43)]
home	668	[(0.11676646706586827, 128), (0.09730538922155689, 171), (0.0748502994011976, 112), (0.06437125748502993, 20), (0.04790419161676647, 164), (0.04790419161676647, 131), (0.04341317365269461, 87), (0.038922155688622756, 191), (0.038922155688622756, 48), (0.0374251497005988, 187), (0.03592814371257485, 194), (0.03143712574850299, 30), (0.029940119760479042, 84), (0.029940119760479042, 18), (0.025449101796407185, 7), (0.02245508982035928, 10), (0.020958083832335328, 8), (0.019461077844311378, 60), (0.017964071856287425, 26), (0.014970059880239521, 119), (0.014970059880239521, 4), (0.01347305389221557, 94), (0.011976047904191617, 148), (0.011976047904191617, 14), (0.010479041916167664, 162), (0.010479041916167664, 125), (0.010479041916167664, 39), (0.008982035928143712, 196), (0.0074850299401197605, 92), (0.005988023952095809, 157), (0.005988023952095809, 42), (0.005988023952095809, 29), (0.004491017964071856, 138), (0.004491017964071856, 75), (0.0029940119760479044, 150), (0.0029940119760479044, 140), (0.0029940119760479044, 108), (0.0029940119760479044, 76), (0.0029940119760479044, 28), (0.0014970059880239522, 170)]
ktory	14	[(0.42857142857142855, 147), (0.2857142857142857, 143), (0.2857142857142857, 40)]
terres	8	[(1.0, 23)]
sarzyna	24	[(1.0, 126)]
quoted-printable	26	[(0.8846153846153846, 104), (0.11538461538461539, 16)]
broad	70	[(0.21428571428571427, 192), (0.12857142857142856, 197), (0.11428571428571428, 127), (0.1, 149), (0.08571428571428572, 144), (0.08571428571428572, 110), (0.08571428571428572, 19), (0.07142857142857142, 170), (0.05714285714285714, 74), (0.02857142857142857, 65), (0.02857142857142857, 27)]
objected	5	[(0.6, 179), (0.4, 8)]
overlap	7	[(0.5714285714285714, 145), (0.2857142857142857, 21), (0.14285714285714285, 105)]
wendy	14	[(0.5, 172), (0.2857142857142857, 36), (0.21428571428571427, 107)]
demonstrated	10	[(0.8, 79), (0.1, 20), (0.1, 2)]
limitations	17	[(0.47058823529411764, 164), (0.17647058823529413, 81), (0.11764705882352941, 94), (0.11764705882352941, 47), (0.058823529411764705, 179), (0.058823529411764705, 27)]
reaching	36	[(0.19444444444444445, 41), (0.16666666666666666, 129), (0.1388888888888889, 51), (0.1111111111111111, 195), (0.1111111111111111, 141), (0.1111111111111111, 86), (0.08333333333333333, 54), (0.05555555555555555, 50), (0.027777777777777776, 34)]
real-world	5	[(0.6, 192), (0.2, 167), (0.2, 85)]
reza	11	[(0.8181818181818182, 0), (0.18181818181818182, 95)]
p@andrew.cmu.edu	8	[(0.75, 105), (0.25, 198)]
pps/vps	6	[(1.0, 57)]
purswell/hou/ect@ect	27	[(1.0, 148)]
commission's	27	[(0.7037037037037037, 179), (0.14814814814814814, 132), (0.14814814814814814, 12)]
wszystko	7	[(1.0, 93)]
carolyn	26	[(0.46153846153846156, 25), (0.23076923076923078, 97), (0.23076923076923078, 63), (0.07692307692307693, 82)]
previously	60	[(0.16666666666666666, 151), (0.13333333333333333, 195), (0.11666666666666667, 192), (0.11666666666666667, 105), (0.11666666666666667, 58), (0.1, 162), (0.08333333333333333, 99), (0.05, 177), (0.05, 146), (0.03333333333333333, 26), (0.03333333333333333, 22)]
zhan_ren.doc	12	[(1.0, 91)]
cocoa	8	[(1.0, 66)]
pewnie	6	[(1.0, 147)]
additional	546	[(0.10989010989010989, 192), (0.09157509157509157, 86), (0.047619047619047616, 41), (0.045787545787545784, 18), (0.04212454212454213, 99), (0.04212454212454213, 24), (0.040293040293040296, 195), (0.040293040293040296, 194), (0.0347985347985348, 33), (0.031135531135531136, 120), (0.029304029304029304, 78), (0.027472527472527472, 155), (0.02564102564102564, 68), (0.023809523809523808, 21), (0.02197802197802198, 191), (0.020146520146520148, 189), (0.020146520146520148, 136), (0.018315018315018316, 182), (0.018315018315018316, 59), (0.016483516483516484, 153), (0.016483516483516484, 151), (0.016483516483516484, 125), (0.014652014652014652, 186), (0.014652014652014652, 141), (0.014652014652014652, 63), (0.014652014652014652, 53), (0.014652014652014652, 19), (0.014652014652014652, 12), (0.01282051282051282, 177), (0.01282051282051282, 79), (0.01098901098901099, 131), (0.01098901098901099, 7), (0.01098901098901099, 4), (0.009157509157509158, 172), (0.009157509157509158, 96), (0.009157509157509158, 16), (0.007326007326007326, 169), (0.007326007326007326, 149), (0.007326007326007326, 22), (0.005494505494505495, 92), (0.005494505494505495, 88), (0.005494505494505495, 80), (0.005494505494505495, 13), (0.0018315018315018315, 157)]
north	898	[(0.28507795100222716, 53), (0.05902004454342984, 183), (0.052338530066815145, 130), (0.051224944320712694, 41), (0.05011135857461024, 19), (0.04788418708240535, 125), (0.04788418708240535, 15), (0.043429844097995544, 149), (0.042316258351893093, 75), (0.035634743875278395, 4), (0.026726057906458798, 169), (0.026726057906458798, 156), (0.024498886414253896, 9), (0.02338530066815145, 120), (0.022271714922048998, 197), (0.022271714922048998, 151), (0.017817371937639197, 17), (0.015590200445434299, 99), (0.015590200445434299, 69), (0.014476614699331848, 114), (0.011135857461024499, 142), (0.008908685968819599, 198), (0.0077951002227171495, 148), (0.0077951002227171495, 118), (0.0077951002227171495, 54), (0.005567928730512249, 188), (0.005567928730512249, 185), (0.005567928730512249, 52), (0.004454342984409799, 167), (0.004454342984409799, 135), (0.0033407572383073497, 96), (0.0033407572383073497, 0)]
gain	120	[(0.3, 58), (0.16666666666666666, 165), (0.075, 176), (0.05, 150), (0.041666666666666664, 89), (0.041666666666666664, 54), (0.03333333333333333, 193), (0.03333333333333333, 138), (0.03333333333333333, 77), (0.03333333333333333, 41), (0.03333333333333333, 23), (0.025, 198), (0.025, 88), (0.025, 0), (0.016666666666666666, 123), (0.016666666666666666, 86), (0.016666666666666666, 72), (0.016666666666666666, 59), (0.008333333333333333, 46), (0.008333333333333333, 5)]
gail	17	[(0.47058823529411764, 135), (0.23529411764705882, 117), (0.23529411764705882, 114), (0.058823529411764705, 136)]
highest	67	[(0.26865671641791045, 37), (0.19402985074626866, 41), (0.13432835820895522, 52), (0.1044776119402985, 34), (0.08955223880597014, 19), (0.05970149253731343, 135), (0.05970149253731343, 108), (0.029850746268656716, 177), (0.029850746268656716, 96), (0.029850746268656716, 44)]
www.rogroup.com	6	[(1.0, 115)]
tijerina/corp/enron@enron	6	[(1.0, 97)]
display	42	[(0.23809523809523808, 72), (0.21428571428571427, 84), (0.14285714285714285, 181), (0.14285714285714285, 78), (0.14285714285714285, 8), (0.11904761904761904, 28)]
marketplace	55	[(0.36363636363636365, 192), (0.21818181818181817, 55), (0.10909090909090909, 110), (0.07272727272727272, 173), (0.07272727272727272, 151), (0.05454545454545454, 72), (0.05454545454545454, 51), (0.03636363636363636, 195), (0.01818181818181818, 88)]
universal	9	[(0.5555555555555556, 153), (0.4444444444444444, 72)]
education	233	[(0.2703862660944206, 161), (0.18025751072961374, 94), (0.13733905579399142, 164), (0.07296137339055794, 39), (0.06437768240343347, 3), (0.03862660944206009, 162), (0.030042918454935622, 194), (0.030042918454935622, 108), (0.02575107296137339, 106), (0.02145922746781116, 196), (0.02145922746781116, 176), (0.02145922746781116, 74), (0.017167381974248927, 177), (0.017167381974248927, 159), (0.017167381974248927, 101), (0.012875536480686695, 172), (0.012875536480686695, 81), (0.008583690987124463, 187)]
undisclosed-recipients	16	[(0.5, 183), (0.125, 164), (0.125, 129), (0.125, 83), (0.125, 50)]
shankman/hou/ect@ect	125	[(0.416, 159), (0.256, 148), (0.072, 97), (0.056, 114), (0.04, 142), (0.04, 88), (0.032, 86), (0.032, 24), (0.032, 13), (0.024, 161)]
star	42	[(0.19047619047619047, 112), (0.19047619047619047, 72), (0.16666666666666666, 132), (0.16666666666666666, 125), (0.14285714285714285, 151), (0.047619047619047616, 173), (0.047619047619047616, 164), (0.047619047619047616, 138)]
fois	6	[(1.0, 23)]
stay	274	[(0.2737226277372263, 171), (0.0948905109489051, 161), (0.0948905109489051, 38), (0.06934306569343066, 170), (0.058394160583941604, 112), (0.05474452554744526, 130), (0.051094890510948905, 137), (0.04744525547445255, 191), (0.0364963503649635, 15), (0.032846715328467155, 95), (0.029197080291970802, 173), (0.029197080291970802, 37), (0.025547445255474453, 176), (0.025547445255474453, 41), (0.021897810218978103, 156), (0.014598540145985401, 126), (0.014598540145985401, 52), (0.010948905109489052, 75), (0.0072992700729927005, 190), (0.0036496350364963502, 131), (0.0036496350364963502, 22)]
additionally	84	[(0.15476190476190477, 21), (0.14285714285714285, 121), (0.14285714285714285, 54), (0.14285714285714285, 34), (0.08333333333333333, 68), (0.08333333333333333, 44), (0.05952380952380952, 72), (0.047619047619047616, 162), (0.047619047619047616, 144), (0.047619047619047616, 73), (0.047619047619047616, 46)]
stan	14	[(0.7857142857142857, 25), (0.14285714285714285, 107), (0.07142857142857142, 44)]
pokalsky	43	[(1.0, 117)]
aided	5	[(0.4, 99), (0.4, 51), (0.2, 58)]
nottingham	24	[(1.0, 53)]
dot-com	8	[(0.75, 165), (0.25, 13)]
bradford/hou/ect	5	[(1.0, 24)]
aud	6	[(1.0, 30)]
aug	91	[(0.26373626373626374, 28), (0.16483516483516483, 156), (0.14285714285714285, 5), (0.0989010989010989, 113), (0.08791208791208792, 66), (0.06593406593406594, 3), (0.04395604395604396, 47), (0.03296703296703297, 122), (0.02197802197802198, 152), (0.02197802197802198, 137), (0.02197802197802198, 99), (0.02197802197802198, 31), (0.01098901098901099, 73)]
pensions	6	[(1.0, 135)]
swat	21	[(1.0, 88)]
aus	14	[(0.5714285714285714, 30), (0.2857142857142857, 43), (0.14285714285714285, 23)]
aux	22	[(1.0, 23)]
collaborate	16	[(0.3125, 138), (0.3125, 92), (0.25, 169), (0.125, 107)]
mailto:cjeffery@riskwaters.com	6	[(1.0, 151)]
comments/justification	12	[(1.0, 181)]
herbert	30	[(0.6333333333333333, 143), (0.2, 163), (0.06666666666666667, 179), (0.06666666666666667, 42), (0.03333333333333333, 192)]
unrelated	14	[(0.2857142857142857, 75), (0.21428571428571427, 140), (0.21428571428571427, 34), (0.14285714285714285, 13), (0.14285714285714285, 8)]
enhance	40	[(0.35, 19), (0.175, 106), (0.15, 101), (0.075, 88), (0.075, 74), (0.075, 0), (0.05, 146), (0.05, 108)]
natarajan	7	[(1.0, 172)]
spokesman	15	[(0.3333333333333333, 136), (0.3333333333333333, 16), (0.13333333333333333, 132), (0.13333333333333333, 27), (0.06666666666666667, 168)]
peter.mcnabb@wefa.com	6	[(0.5, 96), (0.5, 24)]
niche	16	[(0.375, 110), (0.25, 138), (0.125, 184), (0.125, 75), (0.0625, 197), (0.0625, 18)]
mec	41	[(0.975609756097561, 114), (0.024390243902439025, 195)]
markets-based	8	[(1.0, 29)]
mel	6	[(0.5, 95), (0.3333333333333333, 132), (0.16666666666666666, 97)]
men	41	[(0.3170731707317073, 187), (0.2926829268292683, 116), (0.1951219512195122, 53), (0.04878048780487805, 79), (0.04878048780487805, 64), (0.04878048780487805, 50), (0.04878048780487805, 14)]
met	173	[(0.27167630057803466, 18), (0.1676300578034682, 170), (0.11560693641618497, 17), (0.057803468208092484, 33), (0.05202312138728324, 13), (0.046242774566473986, 96), (0.04046242774566474, 20), (0.03468208092485549, 177), (0.03468208092485549, 147), (0.03468208092485549, 36), (0.028901734104046242, 183), (0.028901734104046242, 146), (0.028901734104046242, 133), (0.023121387283236993, 76), (0.011560693641618497, 80), (0.011560693641618497, 28), (0.005780346820809248, 167), (0.005780346820809248, 88)]
eduardo.gil@enron.com	8	[(1.0, 83)]
non-participation	5	[(1.0, 153)]
partners/ut	10	[(1.0, 161)]
sstewart@transenergy.com	8	[(1.0, 103)]
joshua	17	[(0.7058823529411765, 134), (0.11764705882352941, 108), (0.11764705882352941, 23), (0.058823529411764705, 44)]
fantastic	11	[(0.36363636363636365, 199), (0.36363636363636365, 169), (0.2727272727272727, 116)]
mobility	6	[(0.6666666666666666, 67), (0.3333333333333333, 28)]
serialize	20	[(1.0, 104)]
guests	49	[(0.5306122448979592, 161), (0.14285714285714285, 197), (0.14285714285714285, 111), (0.08163265306122448, 124), (0.04081632653061224, 122), (0.04081632653061224, 114), (0.02040816326530612, 133)]
survive	19	[(0.2631578947368421, 176), (0.2631578947368421, 133), (0.21052631578947367, 187), (0.10526315789473684, 64), (0.10526315789473684, 14), (0.05263157894736842, 59)]
marla	12	[(0.5833333333333334, 97), (0.16666666666666666, 166), (0.16666666666666666, 62), (0.08333333333333333, 114)]
www.fma.org/paris.htm	8	[(1.0, 153)]
disruption	16	[(0.625, 4), (0.125, 150), (0.125, 136), (0.125, 57)]
berlin	9	[(0.8888888888888888, 101), (0.1111111111111111, 25)]
jpg	11	[(0.6363636363636364, 64), (0.36363636363636365, 76)]
room	563	[(0.1261101243339254, 111), (0.10301953818827708, 47), (0.06216696269982238, 139), (0.05328596802841918, 147), (0.05150976909413854, 161), (0.04085257548845471, 30), (0.03907637655417407, 197), (0.03907637655417407, 8), (0.035523978685612786, 176), (0.035523978685612786, 49), (0.03374777975133215, 171), (0.03197158081705151, 63), (0.03019538188277087, 148), (0.021314387211367674, 124), (0.021314387211367674, 67), (0.019538188277087035, 130), (0.017761989342806393, 76), (0.017761989342806393, 69), (0.017761989342806393, 14), (0.014209591474245116, 100), (0.014209591474245116, 65), (0.014209591474245116, 48), (0.014209591474245116, 11), (0.012433392539964476, 188), (0.012433392539964476, 164), (0.012433392539964476, 85), (0.010657193605683837, 186), (0.010657193605683837, 183), (0.010657193605683837, 146), (0.010657193605683837, 83), (0.008880994671403197, 193), (0.008880994671403197, 152), (0.008880994671403197, 51), (0.008880994671403197, 29), (0.007104795737122558, 97), (0.0053285968028419185, 105), (0.0053285968028419185, 78), (0.003552397868561279, 198), (0.003552397868561279, 64), (0.003552397868561279, 38), (0.0017761989342806395, 68)]
casimir/enron@enronxgate	8	[(1.0, 83)]
roof	14	[(0.7142857142857143, 174), (0.2857142857142857, 37)]
movies	10	[(1.0, 71)]
exceptions	8	[(0.875, 160), (0.125, 138)]
root	66	[(0.6363636363636364, 58), (0.3181818181818182, 45), (0.030303030303030304, 24), (0.015151515151515152, 1)]
foods	7	[(0.42857142857142855, 171), (0.2857142857142857, 160), (0.2857142857142857, 50)]
cushing	28	[(0.8571428571428571, 35), (0.14285714285714285, 16)]
spotkanie	9	[(1.0, 93)]
courdney	5	[(1.0, 43)]
amazing	28	[(0.21428571428571427, 162), (0.21428571428571427, 76), (0.14285714285714285, 153), (0.14285714285714285, 116), (0.14285714285714285, 100), (0.07142857142857142, 81), (0.03571428571428571, 180), (0.03571428571428571, 8)]
gsheble@iastate.edu	22	[(1.0, 124)]
gordon	76	[(0.3157894736842105, 80), (0.13157894736842105, 188), (0.13157894736842105, 176), (0.10526315789473684, 20), (0.09210526315789473, 108), (0.09210526315789473, 60), (0.09210526315789473, 0), (0.02631578947368421, 85), (0.013157894736842105, 126)]
manuals	44	[(0.25, 129), (0.22727272727272727, 131), (0.20454545454545456, 120), (0.13636363636363635, 84), (0.09090909090909091, 164), (0.09090909090909091, 95)]
loyalty	7	[(0.5714285714285714, 95), (0.2857142857142857, 184), (0.14285714285714285, 194)]
ove	5	[(0.8, 34), (0.2, 88)]
g.pdf	6	[(1.0, 24)]
operate	24	[(0.2916666666666667, 34), (0.20833333333333334, 192), (0.20833333333333334, 62), (0.20833333333333334, 37), (0.08333333333333333, 149)]
corp.enron.com	32	[(1.0, 104)]
dincerler	40	[(0.95, 48), (0.05, 66)]
inconclusive	7	[(0.7142857142857143, 136), (0.2857142857142857, 50)]
holyoke	11	[(1.0, 84)]
confidentially	16	[(0.5625, 55), (0.25, 94), (0.125, 99), (0.0625, 59)]
seeligson	6	[(0.3333333333333333, 90), (0.3333333333333333, 49), (0.3333333333333333, 19)]
rescheduled	13	[(0.8461538461538461, 159), (0.15384615384615385, 49)]
personal	255	[(0.19607843137254902, 194), (0.19607843137254902, 112), (0.07058823529411765, 183), (0.06666666666666667, 4), (0.058823529411764705, 52), (0.054901960784313725, 163), (0.03529411764705882, 95), (0.03137254901960784, 191), (0.03137254901960784, 135), (0.03137254901960784, 76), (0.03137254901960784, 60), (0.03137254901960784, 25), (0.023529411764705882, 117), (0.023529411764705882, 58), (0.0196078431372549, 18), (0.01568627450980392, 133), (0.01568627450980392, 109), (0.01568627450980392, 100), (0.01568627450980392, 90), (0.00784313725490196, 186), (0.00784313725490196, 113), (0.00784313725490196, 27), (0.00784313725490196, 2), (0.00392156862745098, 73)]
solecki	6	[(1.0, 93)]
crew	26	[(0.7307692307692307, 153), (0.07692307692307693, 62), (0.07692307692307693, 58), (0.07692307692307693, 14), (0.038461538461538464, 47)]
wysokie	8	[(0.5, 126), (0.5, 68)]
combination	51	[(0.3333333333333333, 192), (0.21568627450980393, 41), (0.1568627450980392, 170), (0.0784313725490196, 180), (0.058823529411764705, 194), (0.0392156862745098, 136), (0.0392156862745098, 58), (0.0392156862745098, 50), (0.0196078431372549, 165), (0.0196078431372549, 151)]
lazar	6	[(1.0, 23)]
ckleindorfer	5	[(1.0, 153)]
interpolation	20	[(1.0, 120)]
rebooted	5	[(1.0, 58)]
trading	1440	[(0.08888888888888889, 151), (0.05625, 106), (0.05625, 18), (0.04583333333333333, 169), (0.044444444444444446, 54), (0.044444444444444446, 42), (0.04097222222222222, 188), (0.035416666666666666, 170), (0.034722222222222224, 145), (0.030555555555555555, 180), (0.025, 143), (0.024305555555555556, 198), (0.022916666666666665, 28), (0.022916666666666665, 17), (0.020833333333333332, 81), (0.019444444444444445, 173), (0.01875, 3), (0.018055555555555554, 184), (0.018055555555555554, 182), (0.018055555555555554, 158), (0.018055555555555554, 149), (0.016666666666666666, 43), (0.01597222222222222, 111), (0.015277777777777777, 193), (0.015277777777777777, 57), (0.014583333333333334, 165), (0.013888888888888888, 175), (0.013888888888888888, 77), (0.013194444444444444, 185), (0.013194444444444444, 127), (0.0125, 103), (0.0125, 31), (0.011805555555555555, 110), (0.011111111111111112, 159), (0.011111111111111112, 92), (0.009027777777777777, 132), (0.007638888888888889, 126), (0.007638888888888889, 119), (0.007638888888888889, 113), (0.007638888888888889, 2), (0.00625, 161), (0.00625, 144), (0.00625, 96), (0.00625, 82), (0.00625, 22), (0.005555555555555556, 45), (0.005555555555555556, 29), (0.004861111111111111, 142), (0.003472222222222222, 147), (0.003472222222222222, 75), (0.003472222222222222, 12), (0.002777777777777778, 93), (0.0020833333333333333, 190), (0.0020833333333333333, 59), (0.0006944444444444445, 51)]
forgot	44	[(0.25, 44), (0.22727272727272727, 125), (0.11363636363636363, 190), (0.11363636363636363, 83), (0.09090909090909091, 80), (0.045454545454545456, 53), (0.045454545454545456, 26), (0.045454545454545456, 6), (0.022727272727272728, 168), (0.022727272727272728, 64), (0.022727272727272728, 39)]
app-ippexecs@ls.eei.org	12	[(0.6666666666666666, 179), (0.3333333333333333, 34)]
sylwesterr@usa.net	6	[(1.0, 163)]
merchants	17	[(0.47058823529411764, 127), (0.23529411764705882, 100), (0.17647058823529413, 187), (0.11764705882352941, 61)]
cunningham/na/enron	9	[(0.6666666666666666, 12), (0.3333333333333333, 141)]
skarness/hou/ect@ect	6	[(1.0, 114)]
debit	6	[(0.3333333333333333, 169), (0.3333333333333333, 164), (0.3333333333333333, 116)]
venezuela	44	[(0.5454545454545454, 16), (0.3181818181818182, 117), (0.09090909090909091, 140), (0.045454545454545456, 75)]
rac/research	6	[(0.6666666666666666, 146), (0.3333333333333333, 180)]
deng@isye.gatech.edu	122	[(0.9590163934426229, 128), (0.02459016393442623, 157), (0.01639344262295082, 48)]
possiblity	17	[(0.5294117647058824, 182), (0.23529411764705882, 167), (0.23529411764705882, 114)]
fmt	36	[(0.8888888888888888, 178), (0.1111111111111111, 184)]
imds%pmadjn	6	[(1.0, 28)]
floors	26	[(0.46153846153846156, 184), (0.4230769230769231, 121), (0.11538461538461539, 112)]
downside	21	[(0.42857142857142855, 81), (0.2857142857142857, 165), (0.19047619047619047, 195), (0.047619047619047616, 183), (0.047619047619047616, 75)]
requisite	6	[(0.6666666666666666, 115), (0.3333333333333333, 131)]
begins	45	[(0.24444444444444444, 148), (0.24444444444444444, 39), (0.1111111111111111, 41), (0.08888888888888889, 143), (0.08888888888888889, 11), (0.06666666666666667, 187), (0.06666666666666667, 158), (0.044444444444444446, 186), (0.044444444444444446, 4)]
mailto:richard.macminn@nottingham.ac.uk	6	[(1.0, 53)]
skilling	211	[(0.35071090047393366, 94), (0.22748815165876776, 169), (0.15165876777251186, 13), (0.07582938388625593, 114), (0.06635071090047394, 188), (0.037914691943127965, 137), (0.03317535545023697, 90), (0.018957345971563982, 159), (0.014218009478672985, 69), (0.009478672985781991, 144), (0.009478672985781991, 81), (0.004739336492890996, 195)]
ginger	26	[(0.6923076923076923, 86), (0.23076923076923078, 97), (0.07692307692307693, 79)]
tells	35	[(0.11428571428571428, 190), (0.11428571428571428, 185), (0.11428571428571428, 123), (0.11428571428571428, 105), (0.11428571428571428, 64), (0.08571428571428572, 150), (0.08571428571428572, 92), (0.08571428571428572, 50), (0.05714285714285714, 138), (0.05714285714285714, 125), (0.05714285714285714, 39)]
stoplights	12	[(1.0, 130)]
rangel/hou/ect@ect	16	[(1.0, 159)]
fitting	13	[(0.46153846153846156, 70), (0.46153846153846156, 33), (0.07692307692307693, 2)]
permian	11	[(1.0, 41)]
prawami	8	[(1.0, 143)]
mario	17	[(0.5294117647058824, 1), (0.23529411764705882, 83), (0.23529411764705882, 33)]
hide	10	[(0.4, 27), (0.3, 133), (0.2, 187), (0.1, 34)]
marie	153	[(0.3333333333333333, 119), (0.22875816993464052, 148), (0.13071895424836602, 114), (0.10457516339869281, 130), (0.0784313725490196, 64), (0.05228758169934641, 159), (0.026143790849673203, 79), (0.0196078431372549, 186), (0.013071895424836602, 157), (0.006535947712418301, 106), (0.006535947712418301, 60)]
maria	74	[(0.43243243243243246, 66), (0.16216216216216217, 44), (0.13513513513513514, 137), (0.10810810810810811, 69), (0.08108108108108109, 79), (0.02702702702702703, 114), (0.02702702702702703, 82), (0.02702702702702703, 54)]
zealand	11	[(0.5454545454545454, 193), (0.2727272727272727, 127), (0.18181818181818182, 177)]
observation	6	[(0.5, 0), (0.3333333333333333, 24), (0.16666666666666666, 113)]
competitors	66	[(0.15151515151515152, 169), (0.13636363636363635, 37), (0.12121212121212122, 1), (0.09090909090909091, 138), (0.09090909090909091, 121), (0.09090909090909091, 75), (0.06060606060606061, 176), (0.06060606060606061, 111), (0.06060606060606061, 81), (0.06060606060606061, 32), (0.045454545454545456, 134), (0.030303030303030304, 126)]
economist.com	8	[(1.0, 100)]
probe	22	[(0.7272727272727273, 136), (0.09090909090909091, 179), (0.09090909090909091, 28), (0.09090909090909091, 23)]
implying	15	[(0.4666666666666667, 70), (0.4, 193), (0.13333333333333333, 192)]
liberty	26	[(0.3076923076923077, 151), (0.23076923076923078, 58), (0.15384615384615385, 9), (0.07692307692307693, 187), (0.07692307692307693, 172), (0.07692307692307693, 67), (0.07692307692307693, 20)]
northeast	70	[(0.34285714285714286, 183), (0.22857142857142856, 28), (0.14285714285714285, 179), (0.12857142857142856, 6), (0.08571428571428572, 34), (0.02857142857142857, 118), (0.02857142857142857, 77), (0.014285714285714285, 99)]
rozen/lon/ect@ect	7	[(1.0, 95)]
weekends	14	[(0.5, 156), (0.21428571428571427, 157), (0.21428571428571427, 152), (0.07142857142857142, 7)]
sezgen	67	[(0.7313432835820896, 73), (0.23880597014925373, 14), (0.029850746268656716, 97)]
christopher	106	[(0.2358490566037736, 73), (0.1509433962264151, 177), (0.10377358490566038, 107), (0.09433962264150944, 151), (0.09433962264150944, 137), (0.09433962264150944, 97), (0.07547169811320754, 106), (0.04716981132075472, 167), (0.03773584905660377, 6), (0.02830188679245283, 188), (0.018867924528301886, 72), (0.009433962264150943, 180), (0.009433962264150943, 62)]
kashiwamura_shelby@gsb.stanford.edu	18	[(1.0, 164)]
earn	28	[(0.6428571428571429, 165), (0.14285714285714285, 149), (0.14285714285714285, 81), (0.07142857142857142, 3)]
ears	7	[(0.2857142857142857, 116), (0.2857142857142857, 82), (0.2857142857142857, 66), (0.14285714285714285, 127)]
jjw@ziplip.com	38	[(1.0, 199)]
karnataka	8	[(1.0, 136)]
testing	130	[(0.17692307692307693, 173), (0.16923076923076924, 106), (0.15384615384615385, 74), (0.14615384615384616, 145), (0.07692307692307693, 170), (0.06923076923076923, 72), (0.06153846153846154, 121), (0.046153846153846156, 151), (0.03076923076923077, 76), (0.023076923076923078, 172), (0.023076923076923078, 118), (0.023076923076923078, 51)]
http://www.nwwsubscribe.com/foc	17	[(1.0, 131)]
allure	7	[(0.7142857142857143, 110), (0.2857142857142857, 126)]
incorporating	33	[(0.18181818181818182, 121), (0.18181818181818182, 106), (0.15151515151515152, 6), (0.15151515151515152, 0), (0.09090909090909091, 24), (0.06060606060606061, 178), (0.06060606060606061, 146), (0.06060606060606061, 43), (0.06060606060606061, 42)]
operatives	5	[(0.6, 131), (0.4, 50)]
ome	5	[(0.4, 136), (0.4, 24), (0.2, 34)]
vernon	61	[(0.5409836065573771, 6), (0.14754098360655737, 174), (0.13114754098360656, 25), (0.11475409836065574, 84), (0.03278688524590164, 144), (0.03278688524590164, 132)]
steven.leppard@enron.com	10	[(1.0, 2)]
suggested	232	[(0.22844827586206898, 191), (0.13793103448275862, 170), (0.09051724137931035, 171), (0.05603448275862069, 18), (0.05172413793103448, 182), (0.04310344827586207, 190), (0.04310344827586207, 149), (0.03879310344827586, 29), (0.03017241379310345, 53), (0.02586206896551724, 115), (0.02586206896551724, 95), (0.02586206896551724, 3), (0.021551724137931036, 150), (0.021551724137931036, 142), (0.021551724137931036, 96), (0.021551724137931036, 94), (0.021551724137931036, 89), (0.021551724137931036, 76), (0.017241379310344827, 179), (0.017241379310344827, 12), (0.01293103448275862, 196), (0.01293103448275862, 173), (0.01293103448275862, 56)]
frbny	14	[(1.0, 196)]
deregulation	101	[(0.24752475247524752, 192), (0.13861386138613863, 54), (0.10891089108910891, 34), (0.09900990099009901, 161), (0.09900990099009901, 94), (0.07920792079207921, 103), (0.07920792079207921, 28), (0.0594059405940594, 19), (0.039603960396039604, 129), (0.0297029702970297, 41), (0.019801980198019802, 67)]
uncertainty	42	[(0.5, 192), (0.16666666666666666, 195), (0.07142857142857142, 193), (0.07142857142857142, 88), (0.047619047619047616, 112), (0.047619047619047616, 100), (0.047619047619047616, 16), (0.047619047619047616, 6)]
gorman@uh.edu	5	[(1.0, 115)]
bennett/na/enron@enron	89	[(0.9213483146067416, 26), (0.07865168539325842, 83)]
eurolds	18	[(1.0, 143)]
quinn	8	[(0.5, 131), (0.25, 97), (0.25, 5)]
roeder	8	[(1.0, 9)]
mathur	6	[(0.6666666666666666, 37), (0.3333333333333333, 90)]
