unigram	count	topics_list_with_scores
pagenetips	10	[(1.0, 2)]
herring	17	[(0.9411764705882353, 7), (0.058823529411764705, 8)]
clifford	8	[(1.0, 9)]
emeritus	5	[(1.0, 1)]
dhabol	31	[(0.45161290322580644, 8), (0.3870967741935484, 9), (0.16129032258064516, 3)]
teleconference	14	[(0.9285714285714286, 7), (0.07142857142857142, 6)]
pj@austingrp.com	8	[(1.0, 4)]
cornell.edu	25	[(0.52, 3), (0.48, 4)]
israel	30	[(0.5, 3), (0.5, 1)]
nwfusion.com/security/bulletins.html	18	[(1.0, 5)]
flag	18	[(0.6111111111111112, 5), (0.3888888888888889, 4)]
jhickman@duke-energy.com	6	[(1.0, 2)]
info@fincad.com	8	[(1.0, 1)]
offsite	58	[(0.7413793103448276, 2), (0.25862068965517243, 4)]
coop	13	[(1.0, 5)]
mckinseyquarterly.com	12	[(1.0, 8)]
ummail	5	[(1.0, 8)]
occasionally	21	[(0.47619047619047616, 8), (0.38095238095238093, 0), (0.14285714285714285, 6)]
emphasizes	6	[(1.0, 9)]
lighting	6	[(0.6666666666666666, 2), (0.3333333333333333, 6)]
responsibilities.doc	6	[(1.0, 7)]
susan	146	[(0.4452054794520548, 7), (0.3424657534246575, 9), (0.21232876712328766, 4)]
postfix	5	[(1.0, 5)]
koening	5	[(1.0, 4)]
supervision	26	[(0.5384615384615384, 6), (0.4230769230769231, 1), (0.038461538461538464, 3)]
shore	19	[(0.7368421052631579, 8), (0.2631578947368421, 5)]
extrapolation	8	[(1.0, 6)]
emmanuel	6	[(0.6666666666666666, 1), (0.3333333333333333, 4)]
rulemaking	5	[(1.0, 5)]
milwaukee	6	[(1.0, 1)]
avenue	125	[(0.504, 7), (0.304, 1), (0.136, 9), (0.04, 0), (0.016, 5)]
jacobs	7	[(1.0, 3)]
arsystem@ect.enron.com	8	[(1.0, 6)]
schematic	12	[(0.8333333333333334, 7), (0.16666666666666666, 0)]
syncrasy	37	[(1.0, 5)]
hunter	77	[(0.7922077922077922, 9), (0.18181818181818182, 1), (0.025974025974025976, 5)]
bancorp	12	[(1.0, 1)]
instructions	138	[(0.5652173913043478, 9), (0.43478260869565216, 8)]
sobczyk	32	[(1.0, 0)]
policyholders	8	[(1.0, 1)]
mastercard	16	[(1.0, 8)]
accommodated	9	[(0.6666666666666666, 6), (0.3333333333333333, 5)]
weight	8	[(1.0, 0)]
keith.harris@wessexwater.com	6	[(1.0, 9)]
en]c-flashnet	6	[(1.0, 3)]
hill	83	[(0.9036144578313253, 7), (0.0963855421686747, 5)]
friday	1558	[(0.4672657252888318, 7), (0.2663671373555841, 2), (0.1405648267008986, 3), (0.06161745827984596, 4), (0.03401797175866496, 9), (0.030166880616174584, 1)]
guest	154	[(0.7337662337662337, 7), (0.2662337662337662, 4)]
edsono@wharton.upenn.edu	12	[(1.0, 7)]
arlington	6	[(1.0, 5)]
fallen	6	[(1.0, 8)]
takriti	10	[(1.0, 2)]
traveled	6	[(1.0, 8)]
gpm	6	[(1.0, 5)]
story	198	[(0.47474747474747475, 8), (0.3484848484848485, 0), (0.17676767676767677, 5)]
huang/corp/enron@enron	146	[(1.0, 2)]
interviews	262	[(0.8015267175572519, 3), (0.10687022900763359, 4), (0.0916030534351145, 1)]
gpg	8	[(0.75, 0), (0.25, 9)]
gpa	8	[(1.0, 3)]
storm	35	[(1.0, 5)]
store	96	[(0.7916666666666666, 8), (0.20833333333333334, 5)]
saint	6	[(1.0, 3)]
sylwester	6	[(1.0, 1)]
sanders	17	[(1.0, 3)]
king	33	[(0.9393939393939394, 8), (0.06060606060606061, 4)]
kind	399	[(0.3458646616541353, 7), (0.24310776942355888, 3), (0.17543859649122806, 0), (0.12531328320802004, 8), (0.11027568922305764, 6)]
motivation	14	[(1.0, 6)]
stehe	8	[(1.0, 4)]
routledge	10	[(1.0, 3)]
wilson	23	[(0.6521739130434783, 9), (0.34782608695652173, 4)]
rochester	35	[(1.0, 1)]
transactional	10	[(1.0, 9)]
www.petroleumworld.com	5	[(0.8, 0), (0.2, 1)]
entirety	15	[(1.0, 8)]
mhenahan@wharton.upenn.edu	12	[(1.0, 7)]
gill	7	[(1.0, 4)]
electric	324	[(0.7592592592592593, 5), (0.15123456790123457, 9), (0.08950617283950617, 1)]
populate	7	[(0.7142857142857143, 9), (0.2857142857142857, 5)]
exec	36	[(0.5833333333333334, 9), (0.4166666666666667, 6)]
inconvenience	43	[(0.6046511627906976, 7), (0.2558139534883721, 4), (0.13953488372093023, 0)]
bonn	6	[(1.0, 7)]
dezember	8	[(1.0, 4)]
impacting	7	[(1.0, 5)]
stable/ftp/proftpd	6	[(1.0, 5)]
probabilistic	9	[(1.0, 1)]
statkraft	15	[(1.0, 1)]
dealers	43	[(1.0, 1)]
traditional	118	[(0.7288135593220338, 1), (0.2711864406779661, 5)]
caching	8	[(1.0, 5)]
jones/hou/ees	5	[(1.0, 6)]
liberate	6	[(1.0, 8)]
vince.j.kaminski@enron.com	2375	[(0.4416842105263158, 7), (0.27578947368421053, 3), (0.13936842105263159, 6), (0.1271578947368421, 0), (0.016, 2)]
smires	8	[(1.0, 5)]
simulating	37	[(1.0, 6)]
ies	10	[(0.5, 8), (0.5, 5)]
founding	17	[(0.7647058823529411, 1), (0.23529411764705882, 8)]
gains	30	[(0.8, 8), (0.2, 1)]
invoke	16	[(1.0, 2)]
cote	22	[(0.6363636363636364, 1), (0.36363636363636365, 7)]
weidenbaum	6	[(1.0, 1)]
reprint	37	[(0.9459459459459459, 1), (0.05405405405405406, 3)]
toendmonth	24	[(1.0, 9)]
wrote	395	[(0.4911392405063291, 3), (0.29620253164556964, 7), (0.09113924050632911, 6), (0.06329113924050633, 0), (0.05822784810126582, 8)]
polsce	30	[(1.0, 0)]
defense	13	[(0.6153846153846154, 8), (0.38461538461538464, 5)]
chambers	7	[(0.7142857142857143, 1), (0.2857142857142857, 8)]
visualize	14	[(1.0, 9)]
threats	17	[(0.8823529411764706, 5), (0.11764705882352941, 7)]
schilmoeller	11	[(1.0, 5)]
managers	198	[(0.4444444444444444, 8), (0.3838383838383838, 1), (0.10101010101010101, 7), (0.0707070707070707, 5)]
solo	6	[(1.0, 9)]
sold	72	[(0.8472222222222222, 8), (0.1527777777777778, 6)]
sole	84	[(0.9404761904761905, 2), (0.05952380952380952, 8)]
yoho/hou/ees@ees	8	[(1.0, 9)]
oversee	7	[(1.0, 9)]
sweet	11	[(1.0, 8)]
harbour	9	[(1.0, 7)]
regulated	46	[(0.7391304347826086, 5), (0.2608695652173913, 0)]
partho	11	[(0.8181818181818182, 2), (0.18181818181818182, 4)]
village	18	[(1.0, 7)]
flight	156	[(0.6474358974358975, 7), (0.1987179487179487, 8), (0.08974358974358974, 0), (0.0641025641025641, 3)]
algeria	20	[(1.0, 9)]
demand	456	[(0.8486842105263158, 5), (0.05921052631578947, 9), (0.05263157894736842, 8), (0.03070175438596491, 1), (0.008771929824561403, 6)]
frozen	15	[(0.6, 8), (0.4, 6)]
dorie	6	[(0.6666666666666666, 9), (0.3333333333333333, 4)]
thuraisingham@enron	24	[(1.0, 4)]
mahanti	6	[(1.0, 1)]
frantzeskakis	16	[(1.0, 2)]
przesle	6	[(1.0, 0)]
newpower	14	[(1.0, 7)]
higher	245	[(0.49387755102040815, 5), (0.24081632653061225, 6), (0.1836734693877551, 1), (0.061224489795918366, 8), (0.02040816326530612, 9)]
restraint	5	[(1.0, 8)]
liquids	8	[(0.5, 6), (0.5, 2)]
contractors	29	[(0.5862068965517241, 2), (0.27586206896551724, 5), (0.13793103448275862, 3)]
proprietar	16	[(1.0, 9)]
wang's	6	[(1.0, 1)]
products.doc	8	[(1.0, 4)]
mordaunt/enron	8	[(1.0, 4)]
b.s	11	[(1.0, 3)]
spa	6	[(1.0, 7)]
b.v	9	[(1.0, 1)]
machinery	5	[(1.0, 6)]
sbigalow	22	[(1.0, 2)]
questions	1026	[(0.24074074074074073, 7), (0.15886939571150097, 3), (0.14912280701754385, 9), (0.14717348927875243, 5), (0.08576998050682261, 6), (0.08187134502923976, 8), (0.07797270955165692, 2), (0.04873294346978557, 4), (0.009746588693957114, 0)]
patel	12	[(1.0, 6)]
difficile	6	[(1.0, 0)]
sarajoti	6	[(1.0, 1)]
darzustellen	8	[(1.0, 4)]
systematically	7	[(1.0, 6)]
powazaniem	14	[(1.0, 0)]
separately	26	[(0.38461538461538464, 5), (0.34615384615384615, 6), (0.2692307692307692, 3)]
collect	34	[(1.0, 8)]
alternatively	46	[(0.5217391304347826, 7), (0.2826086956521739, 3), (0.1956521739130435, 0)]
pro-seminar	20	[(1.0, 3)]
dupont/na/enron@enron	123	[(1.0, 2)]
kertz	5	[(1.0, 3)]
analizy	10	[(1.0, 0)]
ries	5	[(0.8, 9), (0.2, 0)]
gorny/hou/ect	5	[(1.0, 6)]
cwolak	10	[(1.0, 7)]
refused	7	[(1.0, 8)]
refuses	10	[(0.7, 4), (0.3, 8)]
russell	63	[(0.5238095238095238, 4), (0.19047619047619047, 5), (0.1746031746031746, 8), (0.1111111111111111, 2)]
pipeline	177	[(0.8531073446327684, 5), (0.14689265536723164, 9)]
plaza	20	[(0.6, 7), (0.35, 2), (0.05, 6)]
mcfarland/lon/ect@ect	8	[(1.0, 6)]
range	196	[(0.3877551020408163, 1), (0.22448979591836735, 5), (0.21428571428571427, 0), (0.09693877551020408, 6), (0.04591836734693878, 9), (0.030612244897959183, 8)]
arajpal@coral-energy.com	8	[(1.0, 4)]
gujarat	18	[(1.0, 8)]
complimentary	27	[(0.8148148148148148, 1), (0.14814814814814814, 9), (0.037037037037037035, 8)]
johns	9	[(1.0, 3)]
motors	5	[(1.0, 1)]
inventories	33	[(1.0, 5)]
czlonkiem	6	[(1.0, 0)]
impressed	91	[(0.8791208791208791, 3), (0.0989010989010989, 8), (0.02197802197802198, 9)]
rows	6	[(1.0, 6)]
lone	8	[(1.0, 8)]
long	480	[(0.20208333333333334, 6), (0.16666666666666666, 8), (0.13958333333333334, 3), (0.13541666666666666, 9), (0.13333333333333333, 5), (0.13125, 1), (0.052083333333333336, 2), (0.03125, 0), (0.008333333333333333, 4)]
rowe	5	[(0.6, 2), (0.4, 5)]
authored	19	[(0.5789473684210527, 6), (0.42105263157894735, 1)]
understands	24	[(0.7916666666666666, 1), (0.20833333333333334, 9)]
kemal	13	[(1.0, 9)]
kick-off	18	[(1.0, 7)]
libstaff@listserv.rice.edu	6	[(1.0, 0)]
fulfilling	10	[(0.5, 5), (0.5, 3)]
hasn't	31	[(0.6129032258064516, 8), (0.3870967741935484, 6)]
today	989	[(0.224469160768453, 6), (0.20222446916076844, 5), (0.15470171890798787, 8), (0.15267947421638017, 3), (0.1172901921132457, 2), (0.08291203235591507, 7), (0.06572295247724974, 9)]
fluctuations	17	[(0.47058823529411764, 6), (0.35294117647058826, 5), (0.17647058823529413, 9)]
coordinator	103	[(0.7378640776699029, 7), (0.11650485436893204, 3), (0.08737864077669903, 5), (0.05825242718446602, 2)]
rally	13	[(0.5384615384615384, 9), (0.46153846153846156, 8)]
kamat	17	[(1.0, 3)]
peace	21	[(0.7619047619047619, 8), (0.23809523809523808, 0)]
nick	198	[(0.9696969696969697, 7), (0.030303030303030304, 4)]
one-on-one	5	[(0.6, 3), (0.4, 7)]
nice	205	[(0.43902439024390244, 3), (0.2097560975609756, 7), (0.18536585365853658, 8), (0.11707317073170732, 0), (0.03414634146341464, 6), (0.014634146341463415, 4)]
dale	415	[(0.6506024096385542, 6), (0.3493975903614458, 9)]
meaning	25	[(0.56, 8), (0.44, 6)]
allowing	80	[(0.575, 5), (0.275, 1), (0.15, 6)]
reasoner/hou/ect@ect	10	[(0.6, 4), (0.4, 8)]
broomfield	6	[(1.0, 6)]
c.t	23	[(1.0, 7)]
departments	50	[(0.5, 1), (0.28, 5), (0.22, 6)]
buffalo	22	[(1.0, 2)]
glownej	14	[(1.0, 0)]
us-based	6	[(1.0, 1)]
languages	8	[(1.0, 1)]
include	581	[(0.42168674698795183, 1), (0.16006884681583478, 7), (0.13080895008605853, 5), (0.12736660929432014, 9), (0.06712564543889846, 8), (0.06540447504302926, 6), (0.027538726333907058, 2)]
staley	14	[(1.0, 9)]
confirmation	212	[(0.7169811320754716, 7), (0.1792452830188679, 5), (0.10377358490566038, 8)]
bharati@enron	16	[(1.0, 2)]
http://www.newyorkfed.org/rmaghome	11	[(1.0, 1)]
disclaimer	21	[(0.9047619047619048, 2), (0.09523809523809523, 8)]
concluded	16	[(0.625, 5), (0.375, 8)]
you'd	71	[(0.352112676056338, 2), (0.29577464788732394, 8), (0.2112676056338028, 5), (0.14084507042253522, 7)]
a.html	16	[(1.0, 5)]
makers	35	[(0.6285714285714286, 5), (0.2857142857142857, 8), (0.08571428571428572, 9)]
koenig	21	[(1.0, 4)]
compaq	18	[(1.0, 5)]
concessions	12	[(1.0, 8)]
bearish	7	[(1.0, 5)]
caruso	58	[(1.0, 5)]
chose	23	[(0.6956521739130435, 1), (0.30434782608695654, 9)]
degree	104	[(0.5673076923076923, 1), (0.4326923076923077, 3)]
monetary	39	[(1.0, 1)]
explore	59	[(0.6949152542372882, 1), (0.13559322033898305, 6), (0.13559322033898305, 3), (0.03389830508474576, 5)]
settling	15	[(1.0, 3)]
hirko/enron	20	[(1.0, 4)]
larger	64	[(0.484375, 5), (0.3125, 8), (0.203125, 6)]
leaving	146	[(0.363013698630137, 3), (0.23972602739726026, 7), (0.17123287671232876, 8), (0.14383561643835616, 0), (0.07534246575342465, 1), (0.00684931506849315, 6)]
suggests	16	[(0.875, 8), (0.125, 6)]
gorny	10	[(1.0, 7)]
olivier	9	[(0.8888888888888888, 6), (0.1111111111111111, 4)]
sheila	95	[(0.6947368421052632, 2), (0.30526315789473685, 4)]
apx	10	[(1.0, 5)]
apt	23	[(0.9130434782608695, 3), (0.08695652173913043, 8)]
kristina	12	[(1.0, 4)]
vols	50	[(1.0, 6)]
saltiel	10	[(0.5, 9), (0.5, 4)]
mailto:imceanotes-joseph	10	[(1.0, 2)]
denis.autier@paribas.com	10	[(1.0, 0)]
examination	10	[(1.0, 2)]
clever	8	[(0.5, 8), (0.5, 4)]
connie	29	[(1.0, 4)]
midterm	20	[(0.9, 3), (0.1, 5)]
alex.huang@enron.com	8	[(1.0, 5)]
inaccessible	8	[(1.0, 5)]
assumptions	69	[(0.782608695652174, 6), (0.21739130434782608, 1)]
hilton	43	[(0.7209302325581395, 7), (0.27906976744186046, 1)]
decimalisation	6	[(1.0, 1)]
pmadjn	10	[(1.0, 5)]
syndrome	12	[(1.0, 2)]
struggled	6	[(1.0, 8)]
restructured	13	[(1.0, 5)]
attend	656	[(0.6676829268292683, 7), (0.12042682926829268, 2), (0.08231707317073171, 9), (0.06859756097560976, 4), (0.06097560975609756, 1)]
bertil	38	[(1.0, 6)]
michael_korpi@baylor.edu	8	[(1.0, 3)]
freebsd	35	[(1.0, 5)]
tenure	5	[(1.0, 6)]
interpreted	7	[(0.7142857142857143, 2), (0.2857142857142857, 6)]
whilst	11	[(0.5454545454545454, 7), (0.45454545454545453, 6)]
glen	14	[(1.0, 1)]
superior	53	[(0.4716981132075472, 1), (0.32075471698113206, 2), (0.20754716981132076, 6)]
n.pdf	6	[(1.0, 6)]
w.r.t	14	[(1.0, 7)]
holiday	147	[(0.3401360544217687, 7), (0.25170068027210885, 2), (0.23809523809523808, 8), (0.1564625850340136, 3), (0.013605442176870748, 9)]
rsvp	93	[(0.8924731182795699, 7), (0.10752688172043011, 9)]
hall-dietrich	8	[(1.0, 7)]
moore/hou/ect	20	[(1.0, 2)]
neale	74	[(0.8243243243243243, 2), (0.17567567567567569, 9)]
republican	12	[(1.0, 8)]
successor	14	[(1.0, 1)]
articles	223	[(0.5426008968609866, 6), (0.273542600896861, 1), (0.18385650224215247, 5)]
clippings	14	[(0.5714285714285714, 9), (0.42857142857142855, 5)]
de-federalizes	8	[(1.0, 5)]
edit	84	[(0.5595238095238095, 6), (0.44047619047619047, 5)]
yaman/corp/enron@enron	123	[(1.0, 2)]
grant's	15	[(1.0, 7)]
wholesa	5	[(1.0, 1)]
katyal/enron_development@enron_development	19	[(1.0, 9)]
sentiment	9	[(0.7777777777777778, 8), (0.2222222222222222, 0)]
chaos	10	[(0.6, 5), (0.4, 2)]
deloitte	10	[(0.5, 7), (0.5, 0)]
disclose	20	[(0.9, 6), (0.1, 5)]
juifs	8	[(1.0, 0)]
waterloo	36	[(1.0, 7)]
footnotes	6	[(1.0, 6)]
crm	9	[(1.0, 5)]
wodnicki	16	[(1.0, 0)]
doesn't	178	[(0.5280898876404494, 8), (0.23595505617977527, 5), (0.12921348314606743, 6), (0.07865168539325842, 7), (0.028089887640449437, 3)]
czwartek	17	[(1.0, 0)]
unknown	86	[(0.8255813953488372, 0), (0.10465116279069768, 5), (0.06976744186046512, 6)]
tradeweb	10	[(1.0, 1)]
stephan	18	[(1.0, 6)]
barb.vanbeyerer@sycamorenet.com	8	[(1.0, 4)]
risknews	176	[(1.0, 1)]
notices	8	[(1.0, 7)]
enroncredit	5	[(1.0, 6)]
chisholm	6	[(1.0, 1)]
liquid	38	[(0.8421052631578947, 8), (0.15789473684210525, 1)]
korea's	9	[(1.0, 8)]
stable/x	6	[(1.0, 5)]
clip	14	[(0.8571428571428571, 5), (0.14285714285714285, 0)]
linker	16	[(1.0, 5)]
linked	42	[(0.6190476190476191, 9), (0.2619047619047619, 6), (0.11904761904761904, 1)]
robert.lyczak@destia.com	6	[(1.0, 1)]
kristy	42	[(0.8809523809523809, 9), (0.11904761904761904, 4)]
krista	5	[(1.0, 4)]
martha	34	[(0.5, 0), (0.2647058823529412, 4), (0.23529411764705882, 9)]
underestimating	6	[(1.0, 1)]
student's	8	[(0.625, 3), (0.375, 0)]
http://www.eprm-conferences.com/eprm	10	[(1.0, 1)]
collaboration	76	[(0.6052631578947368, 7), (0.2236842105263158, 3), (0.17105263157894737, 1)]
whi	8	[(0.625, 6), (0.375, 1)]
arnell/enron_development@enron_development	19	[(1.0, 9)]
andreas.barschkis@mgusa.com	8	[(1.0, 6)]
application/database	6	[(1.0, 6)]
pipe	8	[(1.0, 8)]
viacheslav	26	[(1.0, 6)]
marosi	12	[(1.0, 9)]
brenda	74	[(0.8243243243243243, 9), (0.17567567567567569, 4)]
agreed	131	[(0.4122137404580153, 7), (0.21374045801526717, 8), (0.21374045801526717, 6), (0.11450381679389313, 5), (0.04580152671755725, 1)]
chapters	35	[(0.4, 1), (0.3142857142857143, 8), (0.2857142857142857, 6)]
anshuman's	8	[(1.0, 9)]
technician	5	[(1.0, 2)]
fear	15	[(0.6, 8), (0.26666666666666666, 5), (0.13333333333333333, 6)]
hachen/na/enron@enron	8	[(1.0, 2)]
agrees	22	[(0.5454545454545454, 9), (0.4090909090909091, 3), (0.045454545454545456, 7)]
litigation	31	[(0.6774193548387096, 8), (0.3225806451612903, 2)]
routing	13	[(1.0, 5)]
furnished	8	[(1.0, 2)]
local	221	[(0.5701357466063348, 5), (0.24434389140271492, 8), (0.13574660633484162, 1), (0.049773755656108594, 6)]
kindall/corp/enron	9	[(1.0, 2)]
coordinating	45	[(0.4666666666666667, 6), (0.3333333333333333, 3), (0.13333333333333333, 5), (0.06666666666666667, 8)]
http://www.umstore.com/dilbert/dnrcspecial.htx	6	[(1.0, 8)]
married	8	[(1.0, 8)]
sokolov/hou/ect	26	[(0.6923076923076923, 4), (0.3076923076923077, 6)]
partio	6	[(0.8333333333333334, 7), (0.16666666666666666, 8)]
ascertain	15	[(0.6666666666666666, 6), (0.3333333333333333, 7)]
j_martin@baylor.edu	314	[(0.9872611464968153, 3), (0.012738853503184714, 9)]
applicationservice@bdcimail.com	10	[(1.0, 5)]
requirement	48	[(0.4583333333333333, 5), (0.3333333333333333, 6), (0.20833333333333334, 9)]
gopalakrishnan	6	[(1.0, 1)]
zeitraum	16	[(1.0, 4)]
brandfass	10	[(1.0, 4)]
premises	6	[(1.0, 1)]
identification	18	[(1.0, 1)]
crude	90	[(0.43333333333333335, 8), (0.37777777777777777, 6), (0.18888888888888888, 5)]
limit	65	[(0.5538461538461539, 6), (0.3384615384615385, 8), (0.1076923076923077, 5)]
bought	48	[(0.6666666666666666, 8), (0.3333333333333333, 1)]
jot	10	[(1.0, 9)]
ability	239	[(0.42677824267782427, 1), (0.3263598326359833, 9), (0.13807531380753138, 5), (0.1087866108786611, 3)]
opening	91	[(0.3956043956043956, 7), (0.21978021978021978, 1), (0.2087912087912088, 9), (0.17582417582417584, 8)]
joy	9	[(1.0, 8)]
job	561	[(0.5846702317290553, 3), (0.1657754010695187, 1), (0.13012477718360071, 8), (0.08021390374331551, 9), (0.0392156862745098, 6)]
takeover	13	[(0.6153846153846154, 1), (0.38461538461538464, 8)]
jod	8	[(1.0, 1)]
joe	393	[(0.4173027989821883, 4), (0.3104325699745547, 2), (0.12468193384223919, 6), (0.11195928753180662, 1), (0.035623409669211195, 0)]
jog	9	[(1.0, 8)]
lifeboat	12	[(1.0, 8)]
april	1103	[(0.4215775158658205, 1), (0.14959202175883954, 7), (0.14596554850407978, 4), (0.1359927470534905, 9), (0.08884859474161379, 2), (0.032638259292837715, 6), (0.025385312783318223, 5)]
unclear	10	[(0.6, 3), (0.4, 1)]
kingsley/lon/ect@ect	8	[(1.0, 6)]
environments	11	[(0.6363636363636364, 6), (0.36363636363636365, 5)]
rpi	30	[(1.0, 6)]
henahan	12	[(1.0, 7)]
olson	18	[(1.0, 4)]
industry's	18	[(1.0, 1)]
remedies	8	[(1.0, 5)]
ensuring	6	[(0.6666666666666666, 5), (0.3333333333333333, 6)]
undisclosed-recipient:@mailman.enron.com	16	[(0.625, 6), (0.375, 9)]
vicki	8	[(1.0, 4)]
feed-back	9	[(1.0, 6)]
stunning	6	[(1.0, 8)]
image]venezuela's	5	[(1.0, 0)]
vicky	53	[(0.6981132075471698, 3), (0.3018867924528302, 1)]
algorithmical	6	[(1.0, 3)]
thur	46	[(1.0, 7)]
rooster	6	[(1.0, 7)]
navigator	11	[(1.0, 5)]
mcclellan	12	[(1.0, 4)]
johns@scudderpublishing.com	7	[(1.0, 4)]
geographical	10	[(1.0, 5)]
largest	134	[(0.4253731343283582, 1), (0.40298507462686567, 8), (0.17164179104477612, 5)]
difficult	127	[(0.47244094488188976, 8), (0.2440944881889764, 7), (0.16535433070866143, 6), (0.11811023622047244, 1)]
slava	12	[(1.0, 6)]
slave	6	[(1.0, 8)]
disagree	20	[(1.0, 6)]
warming	21	[(0.8095238095238095, 7), (0.19047619047619047, 8)]
risk/corp/enron	6	[(1.0, 6)]
jim.dyer@bus.utexas.edu	30	[(1.0, 7)]
log-returns	40	[(1.0, 6)]
non-opec	6	[(1.0, 5)]
excessive	7	[(1.0, 8)]
heavily	23	[(0.6086956521739131, 5), (0.391304347826087, 7)]
tcr	6	[(1.0, 2)]
tco	5	[(1.0, 5)]
tcf	49	[(1.0, 5)]
usage	23	[(0.5217391304347826, 5), (0.34782608695652173, 9), (0.13043478260869565, 7)]
stakeholders	26	[(1.0, 5)]
provisions	27	[(0.5925925925925926, 8), (0.4074074074074074, 6)]
execute	38	[(1.0, 5)]
press	140	[(0.5571428571428572, 5), (0.29285714285714287, 8), (0.12857142857142856, 9), (0.02142857142857143, 4)]
redesign	12	[(1.0, 5)]
safest	5	[(1.0, 8)]
perpetual	6	[(1.0, 8)]
hosts	42	[(1.0, 7)]
exceed	50	[(0.72, 2), (0.28, 9)]
smoothly	20	[(0.7, 3), (0.3, 1)]
credit.com	14	[(1.0, 3)]
jeremy	62	[(0.8870967741935484, 4), (0.11290322580645161, 8)]
leaing	16	[(1.0, 9)]
http://www.ft.com/nbe	8	[(1.0, 5)]
acronym	6	[(0.5, 8), (0.5, 5)]
paste	33	[(0.45454545454545453, 5), (0.42424242424242425, 8), (0.12121212121212122, 1)]
rare	8	[(1.0, 8)]
carried	14	[(0.5, 6), (0.5, 1)]
carries	7	[(1.0, 5)]
carrier	22	[(1.0, 5)]
converging	11	[(1.0, 5)]
weather	1021	[(0.5416258570029383, 6), (0.24485798237022527, 5), (0.09598432908912831, 1), (0.0930460333006856, 7), (0.022526934378060724, 2), (0.0019588638589618022, 9)]
promise	38	[(0.47368421052631576, 3), (0.2631578947368421, 8), (0.2631578947368421, 7)]
transfer	187	[(0.3582887700534759, 8), (0.27807486631016043, 4), (0.13903743315508021, 5), (0.11764705882352941, 1), (0.10695187165775401, 9)]
redmond	10	[(0.8, 4), (0.2, 0)]
fhayden@kpmg.com	6	[(1.0, 4)]
volume	126	[(0.5, 1), (0.29365079365079366, 9), (0.20634920634920634, 8)]
automated	47	[(0.40425531914893614, 9), (0.2978723404255319, 1), (0.1702127659574468, 6), (0.1276595744680851, 8)]
armstrong/enron@enronxgate	17	[(1.0, 9)]
cake	18	[(0.8333333333333334, 2), (0.1111111111111111, 0), (0.05555555555555555, 8)]
burroughs/enron	10	[(1.0, 4)]
incredible	16	[(1.0, 8)]
sharron	15	[(1.0, 4)]
incredibly	16	[(1.0, 1)]
conclusion	46	[(0.5434782608695652, 7), (0.45652173913043476, 6)]
chavez	8	[(1.0, 0)]
kinds	18	[(0.6666666666666666, 6), (0.3333333333333333, 5)]
m.s	19	[(1.0, 3)]
kinda	5	[(0.6, 3), (0.4, 8)]
cliff	22	[(0.6363636363636364, 4), (0.36363636363636365, 9)]
britain's	7	[(1.0, 1)]
houten/pdx/ect@ect	6	[(1.0, 4)]
payoff	14	[(0.6428571428571429, 1), (0.35714285714285715, 8)]
herndon/hou/ect@ect	13	[(1.0, 9)]
electricity	757	[(0.34081902245706736, 1), (0.26816380449141347, 6), (0.16380449141347425, 8), (0.11624834874504623, 5), (0.11096433289299867, 3)]
paso's	11	[(1.0, 9)]
zajda	6	[(1.0, 0)]
regional	94	[(0.425531914893617, 5), (0.3723404255319149, 1), (0.13829787234042554, 7), (0.06382978723404255, 9)]
dell	24	[(0.75, 5), (0.16666666666666666, 7), (0.08333333333333333, 9)]
syncrasy's	45	[(0.6222222222222222, 5), (0.37777777777777777, 0)]
prize	42	[(1.0, 8)]
lu/hou/ect@ect	265	[(0.690566037735849, 2), (0.30943396226415093, 6)]
enrollment	55	[(0.7636363636363637, 8), (0.23636363636363636, 1)]
charter	26	[(0.6538461538461539, 9), (0.34615384615384615, 5)]
miller	66	[(0.5, 9), (0.4090909090909091, 7), (0.06060606060606061, 4), (0.030303030303030304, 8)]
budget	125	[(0.728, 9), (0.104, 6), (0.104, 5), (0.064, 7)]
sanderson	8	[(1.0, 5)]
unlisted	7	[(1.0, 6)]
dutta/hou/ect@ect	6	[(1.0, 4)]
bobcasey@uh.edu	16	[(1.0, 7)]
annehmen	8	[(1.0, 4)]
increasing	85	[(0.5411764705882353, 8), (0.29411764705882354, 5), (0.16470588235294117, 1)]
moge	12	[(1.0, 0)]
stark/corp/enron@enron	10	[(1.0, 4)]
avert	5	[(1.0, 5)]
fronts	7	[(0.7142857142857143, 8), (0.2857142857142857, 7)]
dorn	12	[(1.0, 4)]
berberian/enron	10	[(1.0, 4)]
ganjoo/hou/ect	6	[(1.0, 2)]
i'd	224	[(0.375, 3), (0.35267857142857145, 2), (0.10267857142857142, 6), (0.09821428571428571, 8), (0.07142857142857142, 7)]
brandli/enron@enronxgate	15	[(1.0, 9)]
military	28	[(0.8571428571428571, 3), (0.14285714285714285, 1)]
i'm	807	[(0.275092936802974, 3), (0.23172242874845106, 7), (0.22428748451053285, 8), (0.13506815365551425, 2), (0.13382899628252787, 6)]
divide	25	[(0.44, 6), (0.36, 3), (0.2, 8)]
explained	63	[(0.4444444444444444, 3), (0.2857142857142857, 1), (0.2698412698412698, 8)]
dortha	5	[(1.0, 4)]
txu	21	[(0.8571428571428571, 1), (0.14285714285714285, 4)]
